name,viable,score,n_total,n_motion,noise_mean,fg_event_ratio_mean,fg_events_mean,event_keep_ratio,mask_fg_mean,mask_lcc_ratio_mean,mask_presence_ratio,lambda_mean,omega_mean,ds_params,seg_params
rand_002,False,1.039187,505,263,0.473969,0.113302,67.817490,0.999793,42.760456,0.100451,0.193916,0.525174,0.644621,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.532 lambda_b=0.152 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=true post_hot_pixel_max_events_per_pixel=9 post_refractory_enable=true post_refractory_us=700 postfilter_adaptive_enable=false postfilter_adaptive_min_keep_pixels=12 postfilter_adaptive_min_keep_ratio=0.04 postfilter_apply_to_compensated_events=true postfilter_enable=true postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=2 postfilter_neighbor_radius_px=1 prefilter_ba_enable=true prefilter_ba_min_neighbors=2 prefilter_ba_radius_px=2 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=3000 prefilter_enable=true prefilter_hot_pixel_enable=false prefilter_hot_pixel_max_events_per_batch=8 prefilter_refractory_enable=true prefilter_refractory_us=300,log_stats=false min_count=2 morph_close=false morph_kernel=3 morph_open=false
rand_008,False,1.074735,553,286,0.410242,0.102395,63.510490,0.893088,30.314685,0.112780,0.143357,0.544509,0.630038,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.493 lambda_b=0.239 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=false post_hot_pixel_max_events_per_pixel=12 post_refractory_enable=false post_refractory_us=300 postfilter_adaptive_enable=false postfilter_adaptive_min_keep_pixels=8 postfilter_adaptive_min_keep_ratio=0.03 postfilter_apply_to_compensated_events=true postfilter_enable=true postfilter_min_component_pixels=2 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=true prefilter_ba_min_neighbors=2 prefilter_ba_radius_px=1 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=2200 prefilter_enable=true prefilter_hot_pixel_enable=true prefilter_hot_pixel_max_events_per_batch=8 prefilter_refractory_enable=true prefilter_refractory_us=600,log_stats=false min_count=2 morph_close=false morph_kernel=3 morph_open=false
rand_010,False,1.080189,565,295,0.460840,0.225088,230.925424,1.000000,42.989831,0.088193,0.183051,0.447207,0.615576,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.505 lambda_b=0.052 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=false post_hot_pixel_max_events_per_pixel=12 post_refractory_enable=false post_refractory_us=450 postfilter_adaptive_enable=true postfilter_adaptive_min_keep_pixels=10 postfilter_adaptive_min_keep_ratio=0.04 postfilter_apply_to_compensated_events=true postfilter_enable=false postfilter_min_component_pixels=2 postfilter_min_count_in_neighborhood=8 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=false prefilter_ba_min_neighbors=1 prefilter_ba_radius_px=1 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=2200 prefilter_enable=true prefilter_hot_pixel_enable=true prefilter_hot_pixel_max_events_per_batch=10 prefilter_refractory_enable=false prefilter_refractory_us=800,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
mut_005_rand_029,False,1.082238,810,409,0.474214,0.137271,118.872861,1.000000,68.234719,0.062411,0.210269,0.535211,0.621730,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.706 lambda_b=0.040 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=true post_hot_pixel_max_events_per_pixel=9 post_refractory_enable=false post_refractory_us=250 postfilter_adaptive_enable=false postfilter_adaptive_min_keep_pixels=10 postfilter_adaptive_min_keep_ratio=0.05 postfilter_apply_to_compensated_events=true postfilter_enable=false postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=true prefilter_ba_min_neighbors=3 prefilter_ba_radius_px=2 prefilter_ba_same_polarity_only=true prefilter_ba_support_from_kept_only=true prefilter_ba_window_us=2500 prefilter_enable=true prefilter_hot_pixel_enable=false prefilter_hot_pixel_max_events_per_batch=9 prefilter_refractory_enable=true prefilter_refractory_us=1500,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
hybrid_1,False,1.084625,467,226,0.333877,0.150281,62.734513,0.588805,14.654867,0.120831,0.101770,0.510693,0.620661,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.65 lambda_b=0.08 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=false post_hot_pixel_max_events_per_pixel=10 post_refractory_enable=false post_refractory_us=250 postfilter_adaptive_enable=true postfilter_adaptive_min_keep_pixels=8 postfilter_adaptive_min_keep_ratio=0.03 postfilter_apply_to_compensated_events=true postfilter_enable=true postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=4 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=false prefilter_ba_min_neighbors=1 prefilter_ba_radius_px=1 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=2200 prefilter_enable=true prefilter_hot_pixel_enable=true prefilter_hot_pixel_max_events_per_batch=10 prefilter_refractory_enable=true prefilter_refractory_us=900,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
rand_004,False,1.087412,1349,742,0.467963,0.160097,119.378706,1.000000,47.547170,0.133822,0.142857,0.492110,0.641765,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.564 lambda_b=0.075 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=false post_hot_pixel_max_events_per_pixel=9 post_refractory_enable=false post_refractory_us=700 postfilter_adaptive_enable=true postfilter_adaptive_min_keep_pixels=12 postfilter_adaptive_min_keep_ratio=0.04 postfilter_apply_to_compensated_events=true postfilter_enable=false postfilter_min_component_pixels=2 postfilter_min_count_in_neighborhood=8 postfilter_min_count_per_pixel=3 postfilter_neighbor_radius_px=1 prefilter_ba_enable=true prefilter_ba_min_neighbors=1 prefilter_ba_radius_px=2 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=4000 prefilter_enable=true prefilter_hot_pixel_enable=false prefilter_hot_pixel_max_events_per_batch=9 prefilter_refractory_enable=true prefilter_refractory_us=600,log_stats=false min_count=3 morph_close=true morph_kernel=5 morph_open=false
pref_ba_strict,False,1.088525,2474,1259,0.478834,0.135126,118.447975,1.000000,73.115171,0.062310,0.209690,0.537991,0.625701,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.70 lambda_b=0.10 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=false post_hot_pixel_max_events_per_pixel=10 post_refractory_enable=false post_refractory_us=250 postfilter_adaptive_enable=true postfilter_adaptive_min_keep_pixels=8 postfilter_adaptive_min_keep_ratio=0.03 postfilter_apply_to_compensated_events=true postfilter_enable=false postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=true prefilter_ba_min_neighbors=2 prefilter_ba_radius_px=1 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=true prefilter_ba_window_us=3200 prefilter_enable=true prefilter_hot_pixel_enable=false prefilter_hot_pixel_max_events_per_batch=10 prefilter_refractory_enable=false prefilter_refractory_us=800,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
rand_029,False,1.095410,800,425,0.472849,0.124085,106.056471,1.000000,56.461176,0.070146,0.197647,0.544529,0.635042,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.826 lambda_b=0.040 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=true post_hot_pixel_max_events_per_pixel=9 post_refractory_enable=false post_refractory_us=250 postfilter_adaptive_enable=false postfilter_adaptive_min_keep_pixels=10 postfilter_adaptive_min_keep_ratio=0.05 postfilter_apply_to_compensated_events=true postfilter_enable=true postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=true prefilter_ba_min_neighbors=3 prefilter_ba_radius_px=2 prefilter_ba_same_polarity_only=true prefilter_ba_support_from_kept_only=true prefilter_ba_window_us=2200 prefilter_enable=true prefilter_hot_pixel_enable=false prefilter_hot_pixel_max_events_per_batch=9 prefilter_refractory_enable=true prefilter_refractory_us=1500,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
post_hot_10,False,1.099602,499,246,0.467320,0.149181,116.504065,1.000000,31.536585,0.087075,0.178862,0.515894,0.594135,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.70 lambda_b=0.10 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=true post_hot_pixel_max_events_per_pixel=10 post_refractory_enable=false post_refractory_us=250 postfilter_adaptive_enable=true postfilter_adaptive_min_keep_pixels=8 postfilter_adaptive_min_keep_ratio=0.03 postfilter_apply_to_compensated_events=true postfilter_enable=false postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=false prefilter_ba_min_neighbors=1 prefilter_ba_radius_px=1 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=2200 prefilter_enable=false prefilter_hot_pixel_enable=false prefilter_hot_pixel_max_events_per_batch=10 prefilter_refractory_enable=false prefilter_refractory_us=800,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
pref_hot_9,False,1.119911,526,311,0.479437,0.125757,111.922830,1.000000,64.819936,0.085638,0.176849,0.547411,0.639159,count_image_topic=count_image events_topic=events imu_topic=imu lambda_a=0.70 lambda_b=0.10 metrics_enable=true metrics_log_stats=false metrics_motion_omega_min=0.10 noise_metrics_topic=/event_noise_metrics post_hot_pixel_enable=false post_hot_pixel_max_events_per_pixel=10 post_refractory_enable=false post_refractory_us=250 postfilter_adaptive_enable=true postfilter_adaptive_min_keep_pixels=8 postfilter_adaptive_min_keep_ratio=0.03 postfilter_apply_to_compensated_events=true postfilter_enable=false postfilter_min_component_pixels=3 postfilter_min_count_in_neighborhood=3 postfilter_min_count_per_pixel=1 postfilter_neighbor_radius_px=1 prefilter_ba_enable=false prefilter_ba_min_neighbors=1 prefilter_ba_radius_px=1 prefilter_ba_same_polarity_only=false prefilter_ba_support_from_kept_only=false prefilter_ba_window_us=2200 prefilter_enable=true prefilter_hot_pixel_enable=true prefilter_hot_pixel_max_events_per_batch=9 prefilter_refractory_enable=false prefilter_refractory_us=800,log_stats=false min_count=1 morph_close=false morph_kernel=3 morph_open=false
